!-------------------------------------------------------------------
! Pressure drop file for Pipe segment 1
!-------------------------------------------------------------------
! The following correlations are supported:
!
! ALIAS     FULL NAME
! -----     ---------
!
! BB73      Beggs and Brill. 1973. "A Study of Two-Phase Flow in Inclined Pipes"
! TABLE     3D interpolation of a pressure drop table
!
!-------------------------------------------------------------------

CORRELATION TABLE 

!qg		qo	qw	dp
!1000m³/d	m³/d	m³/d	kgf/cm²
40	1350	675	22.37512742
40	1350	750	22.66055046
40	1350	825	22.93577982
40	1350	900	23.20081549
40	1350	975	23.46585117
40	1350	1050	23.72069317
40	1350	1125	23.97553517
40	1350	1200	24.09785933
40	1350	1275	24.35270133
40	1350	1350	24.60754332
40	1350	1425	24.86238532
40	1350	1500	25.10703364
40	1350	1575	25.35168196
40	1350	1650	25.60652396
40	1350	1725	25.85117227
40	1350	1800	26.09582059
40	1350	1875	26.34046891
40	1350	1950	26.58511723
40	1350	2025	26.82976555
40	1350	2100	27.06422018
40	1350	2175	27.3088685
40	1350	2250	27.54332314
40	1425	75	23.20081549
40	1425	150	21.98776758
40	1425	225	20.77471967
40	1425	300	21.32517839
40	1425	375	20.82568807
40	1425	450	21.12130479
40	1425	525	21.40672783
40	1425	600	21.69215087
40	1425	675	22.62996942
40	1425	750	22.90519878
40	1425	825	23.17023445
40	1425	900	23.43527013
40	1425	975	23.70030581
40	1425	1050	23.94495413
40	1425	1125	24.06727829
40	1425	1200	24.32212029
40	1425	1275	24.57696228
40	1425	1350	24.83180428
40	1425	1425	25.0764526
40	1425	1500	25.3312946
40	1425	1575	25.57594292
40	1425	1650	25.82059123
40	1425	1725	26.06523955
40	1425	1800	26.30988787
40	1425	1875	26.55453619
40	1425	1950	26.78899083
40	1425	2025	27.02344546
40	1425	2100	27.26809378
40	1425	2175	27.50254842
40	1425	2250	27.75739042
40	1500	75	22.05912334
40	1500	150	20.86646279
40	1500	225	21.31498471
40	1500	300	20.81549439
40	1500	375	21.11111111
40	1500	450	21.39653415
40	1500	525	21.68195719
40	1500	600	22.6401631
40	1500	675	22.91539246
40	1500	750	23.14984709
40	1500	825	23.41488277
40	1500	900	23.66972477
40	1500	975	23.92456677
40	1500	1050	24.04689093
40	1500	1125	24.30173293
40	1500	1200	24.55657492
40	1500	1275	24.81141692
40	1500	1350	25.05606524
40	1500	1425	25.30071356
40	1500	1500	25.54536188
40	1500	1575	25.80020387
40	1500	1650	26.03465851
40	1500	1725	26.27930683
40	1500	1800	26.52395515
40	1500	1875	26.74821611
40	1500	1950	26.99286442
40	1500	2025	27.22731906
40	1500	2100	27.47196738
40	1500	2175	27.73700306
40	1500	2250	28.00203874
40	1575	75	20.96839959
40	1575	150	21.30479103
40	1575	225	20.81549439
40	1575	300	21.11111111
40	1575	375	21.39653415
40	1575	450	21.67176351
40	1575	525	21.94699286
40	1575	600	22.8950051
40	1575	675	23.16004077
40	1575	750	23.42507645
40	1575	825	23.64933741
40	1575	900	23.89398573
40	1575	975	24.02650357
40	1575	1050	24.28134557
40	1575	1125	24.53618756
40	1575	1200	24.78083588
40	1575	1275	25.0254842
40	1575	1350	25.2803262
40	1575	1425	25.52497452
40	1575	1500	25.76962283
40	1575	1575	26.01427115
40	1575	1650	26.24872579
40	1575	1725	26.48318043
40	1575	1800	26.71763507
40	1575	1875	26.9520897
40	1575	1950	27.19673802
40	1575	2025	27.4617737
40	1575	2100	27.7166157
40	1575	2175	27.9714577
40	1575	2250	28.22629969
40	1650	75	21.30479103
40	1650	150	20.81549439
40	1650	225	21.11111111
40	1650	300	21.39653415
40	1650	375	21.67176351
40	1650	450	21.93679918
40	1650	525	22.87461774
40	1650	600	23.13965341
40	1650	675	23.40468909
40	1650	750	23.65953109
40	1650	825	23.87359837
40	1650	900	24.00611621
40	1650	975	24.26095821
40	1650	1050	24.5158002
40	1650	1125	24.76044852
40	1650	1200	25.00509684
40	1650	1275	25.24974516
40	1650	1350	25.49439348
40	1650	1425	25.73904179
40	1650	1500	25.98369011
40	1650	1575	26.21814475
40	1650	1650	26.45259939
40	1650	1725	26.68705403
40	1650	1800	26.92150866
40	1650	1875	27.18654434
40	1650	1950	27.44138634
40	1650	2025	27.69622834
40	1650	2100	27.95107034
40	1650	2175	28.20591233
40	1650	2250	28.47094801
40	1725	75	20.81549439
40	1725	150	21.12130479
40	1725	225	21.39653415
40	1725	300	21.66156983
40	1725	375	21.93679918
40	1725	450	22.20183486
40	1725	525	23.11926606
40	1725	600	23.38430173
40	1725	675	23.63914373
40	1725	750	23.89398573
40	1725	825	23.99592253
40	1725	900	24.24057085
40	1725	975	24.49541284
40	1725	1050	24.74006116
40	1725	1125	24.98470948
40	1725	1200	25.2293578
40	1725	1275	25.47400612
40	1725	1350	25.71865443
40	1725	1425	25.95310907
40	1725	1500	26.18756371
40	1725	1575	26.42201835
40	1725	1650	26.65647299
40	1725	1725	26.91131498
40	1725	1800	27.17635066
40	1725	1875	27.42099898
